City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
211,north platte,41.1239,-100.7654,35.94,30,0,4.63,US,1722819030
212,kumagunnam,13.1551,10.6342,25.72,72,99,5.82,NG,1722819031
213,colonia,50.9333,6.95,17.68,83,97,1.57,DE,1722819002
214,salakhid,32.8727,36.5727,20.94,53,0,5.18,SY,1722819033
215,fort bragg,35.139,-79.006,25.67,91,20,1.54,US,1722818968
216,saint-francois,46.4154,3.9054,14.82,100,0,1.54,FR,1722819036
217,luderitz,-26.6481,15.1594,12.39,76,0,5.67,NA,1722819037
218,talnakh,69.4865,88.3972,12.33,54,0,5.41,RU,1722819038
219,port mathurin,-19.6833,63.4167,22.11,73,5,6.41,MU,1722819039
220,sabang,5.8933,95.3214,28.5,75,99,7.72,ID,1722819040
221,geraldton,-28.7667,114.6,10.23,87,0,4.63,AU,1722819041
222,wakkanai,45.4094,141.6739,14.99,94,75,5.66,JP,1722819042
223,huancabamba,-5.2386,-79.4506,14.7,90,29,2.11,PE,1722819044
224,nadym,65.5333,72.5167,12.93,62,100,7.41,RU,1722819045
225,the pas,53.8251,-101.2541,23.01,35,0,1.54,CA,1722819046
226,sao gabriel da cachoeira,-0.1303,-67.0892,23.97,89,84,0.76,BR,1722819047
227,santo antonio do ica,-3.1022,-67.9397,24.07,95,100,1.38,BR,1722819048
228,dongola,19.1667,30.4833,28.43,72,18,5.42,SD,1722819049
229,alice springs,-23.7,133.8833,10.75,87,100,3.09,AU,1722819050
230,santa marta,11.2408,-74.199,31.03,70,20,2.06,CO,1722819051
231,nuuk,64.1835,-51.7216,6.34,87,100,3.09,GL,1722819052
232,namibe,-15.1961,12.1522,15.56,89,0,1.55,AO,1722818986
233,muktsar,30.4833,74.5167,28.17,79,15,2.79,IN,1722819055
234,ji'an,27.1172,114.9793,33.04,63,15,2.91,CN,1722819056
235,quelimane,-17.8786,36.8883,16.97,93,0,1.03,MZ,1722819057
236,sanya,18.2431,109.505,31.09,74,0,1.0,CN,1722819058
237,behbahan,30.5959,50.2417,31.38,16,0,1.72,IR,1722819060
238,lorengau,-2.0226,147.2712,28.13,79,77,3.38,PG,1722819061
